+------+----+------+------+------+----+----+------+----+------+------+----+------+------+----+--------------+
|   T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | HL   |mem | Asm          |
| 64/0 |    | MREQ |      |      | RD |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 65/1 |    | MREQ |      |      | RD |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 65/0 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 66/1 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 66/0 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 67/1 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 67/0 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 68/1 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 68/0 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 69/1 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 69/0 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 70/1 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 70/0 |    |      |      |      |    |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 71/1 | M1 |      |      |      |    |    | 0003 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | CALL 0008h   |
| 71/0 | M1 | MREQ |      |      | RD |    | 0003 | FB | 0004 | 0030 | 18 | 5501 | 000D | 41 | CALL 0008h   |
| 72/1 | M1 | MREQ |      |      | RD |    | 0003 | CD | 0004 | 0030 | 18 | 5501 | 000D | 41 | CALL 0008h   |
| 72/0 | M1 | MREQ |      |      | RD |    | 0003 | CD | 0004 | 0030 | 00 | 5501 | 000D | 41 | CALL 0008h   |
| 73/1 |    |      |      | RFSH |    |    | 0006 | CD | 0004 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 73/0 |    | MREQ |      | RFSH |    |    | 0006 | CD | 0004 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 74/1 |    | MREQ |      | RFSH |    |    | 0006 | CD | 0004 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 74/0 |    |      |      | RFSH |    |    | 0006 | CD | 0004 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 75/1 |    |      |      |      |    |    | 0004 | CD | 0004 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 75/0 |    | MREQ |      |      | RD |    | 0004 | CD | 0005 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 76/1 |    | MREQ |      |      | RD |    | 0004 | 08 | 0005 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 76/0 |    | MREQ |      |      | RD |    | 0004 | 08 | 0005 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 77/1 |    | MREQ |      |      | RD |    | 0004 | 08 | 0005 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 77/0 |    |      |      |      |    |    | 0004 | 08 | 0005 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 78/1 |    |      |      |      |    |    | 0005 | 08 | 0005 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 78/0 |    | MREQ |      |      | RD |    | 0005 | 08 | 0006 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 79/1 |    | MREQ |      |      | RD |    | 0005 | 00 | 0006 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 79/0 |    | MREQ |      |      | RD |    | 0005 | 00 | 0006 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 80/1 |    | MREQ |      |      | RD |    | 0005 | 00 | 0006 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 80/0 |    |      |      |      |    |    | 0005 | 00 | 0006 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 81/1 |    |      |      |      |    |    | 0005 | 00 | 0006 | 0030 | CD | 5501 | 000D | 41 | CALL 0008h   |
| 81/0 |    |      |      |      |    |    | 0005 | 00 | 0006 | 002F | CD | 5501 | 000D | 41 | CALL 0008h   |
| 82/1 |    |      |      |      |    |    | 002F | 00 | 0006 | 002F | CD | 5501 | 000D | 41 | CALL 0008h   |
| 82/0 |    | MREQ |      |      |    |    | 002F | 00 | 0006 | 002F | CD | 5501 | 000D | 41 | CALL 0008h   |
| 83/1 |    | MREQ |      |      |    |    | 002F | 00 | 0006 | 002F | CD | 5501 | 000D | 41 | CALL 0008h   |
| 83/0 |    | MREQ |      |      |    | WR | 002F | 00 | 0006 | 002E | CD | 5501 | 000D | 41 | CALL 0008h   |
| 84/1 |    | MREQ |      |      |    | WR | 002F | 00 | 0006 | 002E | CD | 5501 | 000D | 41 | CALL 0008h   |
| 84/0 |    |      |      |      |    |    | 002F | 00 | 0006 | 002E | CD | 5501 | 000D | 41 | CALL 0008h   |
| 85/1 |    |      |      |      |    |    | 002E | 00 | 0006 | 002E | CD | 5501 | 000D | 41 | CALL 0008h   |
| 85/0 |    | MREQ |      |      |    |    | 002E | 06 | 0006 | 002E | CD | 5501 | 000D | 41 | CALL 0008h   |
| 86/1 |    | MREQ |      |      |    |    | 002E | 06 | 0006 | 002E | CD | 5501 | 000D | 41 | CALL 0008h   |
| 86/0 |    | MREQ |      |      |    | WR | 002E | 06 | 0006 | 002E | CD | 5501 | 000D | 41 | CALL 0008h   |
| 87/1 |    | MREQ |      |      |    | WR | 002E | 06 | 0006 | 002E | CD | 5501 | 000D | 41 | CALL 0008h   |
| 87/0 |    |      |      |      |    |    | 002E | 06 | 0006 | 002E | CD | 5501 | 000D | 41 | CALL 0008h   |
| 88/1 | M1 |      |      |      |    |    | 0008 | 00 | 0006 | 002E | CD | 5501 | 000D | 41 | LD HL,000Dh  |
| 88/0 | M1 | MREQ |      |      | RD |    | 0008 | 00 | 0009 | 002E | CD | 5501 | 000D | 41 | LD HL,000Dh  |
