+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
|   130 |    |      |      |      |    |    |     |     |      | 0052 | 07 | 0027 | FFFE | B3 | 0017 | 001D | 0053 | FF FF | FF FF | OTIR         |
|   131 |    |      |      |      |    |    |     |     |      | 0052 | 07 | 0027 | FFFE | B3 | 0017 | 001D | 0053 | FF FF | FF FF | OTIR         |
|   132 |    |      | IORQ |      |    | WR |     |     |      | 001D | 07 | 0027 | FFFE | B3 | 0017 | 001D | 0053 | FF FF | FF FF | OTIR         |
|   133 |    |      |      |      |    |    |     |     |      | 001D | 07 | 0027 | FFFE | B3 | 0040 | 001D | 0053 | FF FF | FF FF | OTIR         |
|   134 |    |      |      |      |    |    |     |     |      | 001D | 07 | 0027 | FFFE | B3 | 0040 | 001D | 0053 | FF FF | FF FF | OTIR         |
|   135 | M1 | MREQ |      |      | RD |    |     |     |      | 0027 | 07 | 0028 | FFFE | B3 | 0040 | 001D | 0053 | FF FF | FF FF | LD HL,0053h  |
|   136 |    |      |      |      |    |    |     |     |      | 0027 | 21 | 0028 | FFFE | 21 | 0040 | 001D | 0053 | FF FF | FF FF | LD HL,0053h  |
|   137 |    | MREQ |      | RFSH |    |    |     |     |      | 0011 | 21 | 0028 | FFFE | 21 | 0040 | 001D | 0053 | FF FF | FF FF | LD HL,0053h  |
|   138 |    |      |      |      |    |    |     |     |      | 0011 | 21 | 0028 | FFFE | 21 | 0040 | 001D | 0053 | FF FF | FF FF | LD HL,0053h  |
|   139 |    |      |      |      |    |    |     |     |      | 0011 | 21 | 0028 | FFFE | 21 | 0040 | 001D | 0053 | FF FF | FF FF | LD HL,0053h  |
|   140 |    | MREQ |      |      | RD |    |     |     |      | 0028 | 21 | 0029 | FFFE | 21 | 0040 | 001D | 0053 | FF FF | FF FF | LD HL,0053h  |
|   141 |    |      |      |      |    |    |     |     |      | 0028 | 53 | 0029 | FFFE | 21 | 0040 | 001D | 0053 | FF FF | FF FF | LD HL,0053h  |
|   142 |    |      |      |      |    |    |     |     |      | 0028 | 53 | 0029 | FFFE | 21 | 0040 | 001D | 0053 | FF FF | FF FF | LD HL,0053h  |
|   143 |    | MREQ |      |      | RD |    |     |     |      | 0029 | 53 | 002A | FFFE | 21 | 0040 | 001D | 0053 | FF FF | FF FF | LD HL,0053h  |
|   144 |    |      |      |      |    |    |     |     |      | 0029 | 00 | 002A | FFFE | 21 | 0040 | 001D | 0053 | FF FF | FF FF | LD HL,0053h  |
|   145 | M1 | MREQ |      |      | RD |    |     |     |      | 002A | 00 | 002B | FFFE | 21 | 0040 | 001D | 0053 | FF FF | FF FF | LD B,03h     |
|   146 |    |      |      |      |    |    |     |     |      | 002A | 06 | 002B | FFFE | 06 | 0040 | 001D | 0053 | FF FF | FF FF | LD B,03h     |
|   147 |    | MREQ |      | RFSH |    |    |     |     |      | 0012 | 06 | 002B | FFFE | 06 | 0040 | 001D | 0053 | FF FF | FF FF | LD B,03h     |
|   148 |    |      |      |      |    |    |     |     |      | 0012 | 06 | 002B | FFFE | 06 | 0040 | 001D | 0053 | FF FF | FF FF | LD B,03h     |
|   149 |    |      |      |      |    |    |     |     |      | 0012 | 06 | 002B | FFFE | 06 | 0040 | 001D | 0053 | FF FF | FF FF | LD B,03h     |
|   150 |    | MREQ |      |      | RD |    |     |     |      | 002B | 06 | 002C | FFFE | 06 | 0040 | 001D | 0053 | FF FF | FF FF | LD B,03h     |
|   151 |    |      |      |      |    |    |     |     |      | 002B | 03 | 002C | FFFE | 06 | 0040 | 031D | 0053 | FF FF | FF FF | LD B,03h     |
|   152 | M1 | MREQ |      |      | RD |    |     |     |      | 002C | 03 | 002D | FFFE | 06 | 0040 | 031D | 0053 | FF FF | FF FF | LD C,1Fh     |
|   153 |    |      |      |      |    |    |     |     |      | 002C | 0E | 002D | FFFE | 0E | 0040 | 031D | 0053 | FF FF | FF FF | LD C,1Fh     |
|   154 |    | MREQ |      | RFSH |    |    |     |     |      | 0013 | 0E | 002D | FFFE | 0E | 0040 | 031D | 0053 | FF FF | FF FF | LD C,1Fh     |
|   155 |    |      |      |      |    |    |     |     |      | 0013 | 0E | 002D | FFFE | 0E | 0040 | 031D | 0053 | FF FF | FF FF | LD C,1Fh     |
|   156 |    |      |      |      |    |    |     |     |      | 0013 | 0E | 002D | FFFE | 0E | 0040 | 031D | 0053 | FF FF | FF FF | LD C,1Fh     |
|   157 |    | MREQ |      |      | RD |    |     |     |      | 002D | 0E | 002E | FFFE | 0E | 0040 | 031D | 0053 | FF FF | FF FF | LD C,1Fh     |
|   158 |    |      |      |      |    |    |     |     |      | 002D | 1F | 002E | FFFE | 0E | 0040 | 031F | 0053 | FF FF | FF FF | LD C,1Fh     |
|   159 | M1 | MREQ |      |      | RD |    |     |     |      | 002E | 1F | 002F | FFFE | 0E | 0040 | 031F | 0053 | FF FF | FF FF | OTIR         |
|   160 |    |      |      |      |    |    |     |     |      | 002E | ED | 002F | FFFE | ED | 0040 | 031F | 0053 | FF FF | FF FF | OTIR         |
