+-----+----+------+------+------+----+----+------+----+------+------+----+------+------+------+----+-------+--------------+
|  T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | PIO   | Asm          |
|17/8 |    |      |      |      |    |    | 0033 | CF | 0022 | FFFE | B3 | FF40 | 021F | 0034 | FF | AA,FF | OTIR         |
|17/9 |    |      |      |      |    |    | 0033 | CF | 0022 | FFFE | B3 | FF40 | 021F | 0034 | FF | AA,FF | OTIR         |
|17/10|    |      | IORQ |      |    | WR | 021F | CF | 0022 | FFFE | B3 | FF40 | 021F | 0034 | FF | AA,FF | OTIR         |
|17/11|    |      |      |      |    |    | 021F | CF | 0022 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|17/12|    |      |      |      |    |    | 021F | CF | 0022 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|17/13|    |      |      |      |    |    | 021F | CF | 0020 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|17/14|    |      |      |      |    |    | 021F | CF | 0020 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|17/15|    |      |      |      |    |    | 021F | CF | 0020 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|17/16|    |      |      |      |    |    | 021F | CF | 0020 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|17/17|    |      |      |      |    |    | 021F | CF | 0020 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|18/1 | M1 | MREQ |      |      | RD |    | 0020 | CF | 0021 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|18/2 |    |      |      |      |    |    | 0020 | ED | 0021 | FFFE | ED | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|18/3 |    | MREQ |      | RFSH |    |    | 0011 | ED | 0021 | FFFE | ED | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|18/4 |    |      |      |      |    |    | 0011 | ED | 0021 | FFFE | ED | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|19/1 | M1 | MREQ |      |      | RD |    | 0021 | ED | 0022 | FFFE | ED | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|19/2 |    |      |      |      |    |    | 0021 | B3 | 0022 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|19/3 |    | MREQ |      | RFSH |    |    | 0012 | B3 | 0022 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|19/4 |    |      |      |      |    |    | 0012 | B3 | 0022 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|19/5 |    |      |      |      |    |    | 0012 | B3 | 0022 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|19/6 |    |      |      |      |    |    | 0012 | B3 | 0022 | FFFE | B3 | FF13 | 021F | 0034 | FF | AA,00 | OTIR         |
|19/7 |    | MREQ |      |      | RD |    | 0034 | B3 | 0022 | FFFE | B3 | FF13 | 021F | 0035 | FF | AA,00 | OTIR         |
|19/8 |    |      |      |      |    |    | 0034 | 00 | 0022 | FFFE | B3 | FF13 | 011F | 0035 | FF | AA,00 | OTIR         |
|19/9 |    |      |      |      |    |    | 0034 | 00 | 0022 | FFFE | B3 | FF13 | 011F | 0035 | FF | AA,00 | OTIR         |
|19/10|    |      | IORQ |      |    | WR | 011F | 00 | 0022 | FFFE | B3 | FF13 | 011F | 0035 | FF | AA,00 | OTIR         |
|19/11|    |      |      |      |    |    | 011F | 00 | 0022 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|19/12|    |      |      |      |    |    | 011F | 00 | 0022 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|19/13|    |      |      |      |    |    | 011F | 00 | 0020 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|19/14|    |      |      |      |    |    | 011F | 00 | 0020 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|19/15|    |      |      |      |    |    | 011F | 00 | 0020 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|19/16|    |      |      |      |    |    | 011F | 00 | 0020 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|19/17|    |      |      |      |    |    | 011F | 00 | 0020 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
